key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,previousDay,oneWeekAgoVal,oneMonthAgoVal,oneYearAgoVal,_collected_on
STRATEGY INDICES,NIFTY200 ALPHA 30,NIFTY200 ALPHA 30,26082.15,193.85,0.75,25890.0,26088.25,25857.85,25888.3,0.0,0.0,21.62,5.4,1.05,10,20,0,3.89,-1.51,17-Jul-2026,26308.05,26480.95,25104.95,2026-07-20
STRATEGY INDICES,NIFTY MIDCAP150 MOMENTUM 50,NIFTYM150MOMNTM50,62637.45,496.85,0.8,62056.55,62642.1,62011.25,62140.6,0.0,0.0,28.83,5.67,0.53,12,37,1,1.15,-2.97,17-Jul-2026,62882.5,64557.15,61923.1,2026-07-20
STRATEGY INDICES,NIFTY500 MOMENTUM 50,NIFTY500MOMENTM50,53441.05,510.8,0.97,52865.85,53443.95,52791.9,52930.25,0.0,0.0,33.11,6.54,0.54,16,33,1,0.77,-1.73,17-Jul-2026,53456.8,54381.55,53031.5,2026-07-20
STRATEGY INDICES,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,NIFTYMS400 MQ 100,50714.9,443.55,0.88,50194.95,50727.95,50169.9,50271.35,0.0,0.0,31.39,6.64,0.7,33,66,1,0.97,-1.75,17-Jul-2026,50763.5,51617.8,50227.4,2026-07-20
STRATEGY INDICES,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,NIFTYSML250MQ 100,47501.7,246.0,0.52,47154.95,47649.65,47122.65,47255.7,0.0,0.0,28.99,4.82,0.75,48,52,0,-1.85,2.36,17-Jul-2026,47630.3,46404.85,48398.05,2026-07-20
STRATEGY INDICES,NIFTY TOP 10 EQUAL WEIGHT,NIFTY TOP 10 EW,8621.25,-75.75,-0.87,8613.35,8650.15,8582.9,8697.0,0.0,0.0,18.51,3.18,1.31,5,5,0,-10.27,-0.17,17-Jul-2026,8622.5,8636.15,9608.0,2026-07-20
STRATEGY INDICES,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,NIFTY AQL 30,22971.95,209.45,0.92,22773.95,22981.7,22742.3,22762.5,0.0,0.0,29.36,6.81,1.43,10,20,0,2.42,1.66,17-Jul-2026,22801.7,22596.65,22430.1,2026-07-20
STRATEGY INDICES,NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,NIFTY AQLV 30,20344.8,226.1,1.12,20127.2,20351.7,20105.05,20118.7,0.0,0.0,16.79,3.09,1.67,4,26,0,-1.61,1.76,17-Jul-2026,20122.3,19993.25,20678.55,2026-07-20
STRATEGY INDICES,NIFTY HIGH BETA 50,NIFTY HIGHBETA 50,4445.6,0.9,0.02,4436.9,4447.85,4411.35,4444.7,0.0,0.0,20.92,3.68,0.85,27,23,0,16.33,2.33,17-Jul-2026,4479.9,4344.3,3821.7,2026-07-20
STRATEGY INDICES,NIFTY LOW VOLATILITY 50,NIFTY LOW VOL 50,24686.8,111.7,0.45,24551.2,24690.55,24508.3,24575.1,0.0,0.0,26.68,4.53,1.36,14,36,0,-1.32,1.7,17-Jul-2026,24602.6,24274.3,25016.0,2026-07-20
