key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,indicativeClose,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,date365dAgo,date30dAgo,previousDay,oneWeekAgo,oneMonthAgoVal,oneWeekAgoVal,oneYearAgoVal,previousDayVal,_collected_on
STRATEGY INDICES,NIFTY DIVIDEND OPPORTUNITIES 50,NIFTY DIV OPPS 50,5861.5,35.85,0.62,5833.45,5861.75,5824.75,5825.65,6584.65,5614.0,0,12.97,2.54,2.45,14,36,0,-3.35,0.32,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,5842.85,5838.05,6064.95,5825.65,2026-07-20
STRATEGY INDICES,NIFTY GROWTH SECTORS 15,NIFTY GROWSECT 15,11136.55,-7.7,-0.07,11175.8,11175.8,11115.1,11144.25,12852.45,10329.35,0,28.01,6.46,1.5,8,7,0,-4.03,4.07,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,10700.6,11028.05,11604.35,11144.25,2026-07-20
STRATEGY INDICES,NIFTY100 QUALITY 30,NIFTY100 QUALTY30,5554.75,12.75,0.23,5548.0,5559.65,5534.15,5542.0,0.0,0.0,0,27.18,6.94,1.78,13,17,0,-0.95,1.12,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,5493.0,5512.65,5607.85,5542.0,2026-07-20
STRATEGY INDICES,NIFTY50 VALUE 20,NIFTY50 VALUE 20,12064.5,-75.9,-0.63,12040.05,12098.45,12008.5,12140.4,13684.4,11528.6,0,15.06,2.15,1.72,6,14,0,-5.39,0.67,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,11984.25,12075.85,12751.9,12140.4,2026-07-20
STRATEGY INDICES,NIFTY50 TR 2X LEVERAGE,NIFTY50 TR 2X LEV,18420.25,-130.65,-0.7,18324.1,18433.25,18242.1,18550.9,22435.45,15547.15,0,0,0,0,,,,-10.04,1.73,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,18107.2,18367.15,20475.9,18550.9,2026-07-20
STRATEGY INDICES,NIFTY50 PR 2X LEVERAGE,NIFTY50 PR 2X LEV,12137.1,-86.1,-0.7,12073.75,12145.7,12019.75,12223.2,14993.4,10365.7,0,0,0,0,,,,-12.01,1.45,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,11964.15,12108.55,13793.75,12223.2,2026-07-20
STRATEGY INDICES,NIFTY50 TR 1X INVERSE,NIFTY50 TR 1X INV,177.55,0.65,0.37,178.0,178.4,177.5,176.9,193.35,161.8,0,0,0,0,,,,5.5,-0.81,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,179.0,177.75,168.3,176.9,2026-07-20
STRATEGY INDICES,NIFTY50 PR 1X INVERSE,NIFTY50 PR 1X INV,218.35,0.8,0.37,218.9,219.4,218.25,217.55,236.5,197.8,0,0,0,0,,,,6.56,-0.66,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,219.8,218.55,204.9,217.55,2026-07-20
STRATEGY INDICES,NIFTY50 DIVIDEND POINTS,NIFTY50 DIV POINT,141.1,0.0,0.0,141.1,141.1,141.1,141.1,0.0,0.0,0,0,0,0,,,,-5.3,31.32,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,107.45,134.61,149.0,141.1,2026-07-20
STRATEGY INDICES,NIFTY ALPHA 50,NIFTY ALPHA 50,54058.6,407.3,0.76,53598.85,54065.85,53549.05,53651.3,0.0,0.0,0,24.6,5.04,0.81,15,35,0,3.19,-0.64,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,54407.4,54090.85,52389.35,53651.3,2026-07-20
STRATEGY INDICES,NIFTY50 EQUAL WEIGHT,NIFTY50 EQL WGT,32909.6,65.05,0.2,32823.55,32909.7,32761.1,32844.55,0.0,0.0,0,24.15,3.52,1.34,15,35,0,4.66,0.69,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,32684.85,32825.75,31445.1,32844.55,2026-07-20
STRATEGY INDICES,NIFTY100 EQUAL WEIGHT,NIFTY100 EQL WGT,34652.7,161.55,0.47,34461.9,34653.75,34406.15,34491.15,0.0,0.0,0,20.86,3.37,1.31,31,69,0,5.55,0.45,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,34496.45,34548.55,32831.65,34491.15,2026-07-20
STRATEGY INDICES,NIFTY100 LOW VOLATILITY 30,NIFTY100 LOWVOL30,20182.7,77.85,0.39,20082.2,20183.7,20050.5,20104.85,0.0,0.0,0,25.23,4.17,1.41,9,21,0,0.32,2.24,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,19739.65,20100.75,20118.75,20104.85,2026-07-20
STRATEGY INDICES,NIFTY200 QUALITY 30,NIFTY200 QUALTY30,20217.7,100.65,0.5,20126.35,20240.85,20088.45,20117.05,0.0,0.0,0,28.18,9.06,1.8,10,20,0,-2.72,0.81,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,20055.9,20133.95,20782.6,20117.05,2026-07-20
STRATEGY INDICES,NIFTY ALPHA LOW-VOLATILITY 30,NIFTY ALPHALOWVOL,26975.85,213.2,0.8,26749.3,26977.0,26720.4,26762.65,0.0,0.0,0,27.09,4.39,1.09,6,24,0,1.39,2.58,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,26298.5,26805.75,26607.3,26762.65,2026-07-20
STRATEGY INDICES,NIFTY200 MOMENTUM 30,NIFTY200MOMENTM30,30527.45,325.7,1.08,30204.5,30529.15,30154.4,30201.75,0.0,0.0,0,26.02,4.81,1.13,8,22,0,-0.53,-2.32,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,31253.85,30570.25,30690.5,30201.75,2026-07-20
STRATEGY INDICES,NIFTY MIDCAP150 QUALITY 50,NIFTY M150 QLTY50,24180.0,176.0,0.73,23979.4,24183.4,23950.3,24004.0,0.0,0.0,0,32.2,7.32,1.06,13,37,0,-3.01,-1.07,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,24442.5,24154.15,24929.3,24004.0,2026-07-20
