symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend,_collected_on
DELPHIFX,BE,6.87,6.87,6.87,6.87,7.23,-4.98,84932,5.834828399999999,N,13-Feb-2026,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,-4.98,SecLwr20,2026-07-20
MADHUCON,BE,5.49,5.67,5.19,5.19,5.46,-4.95,53354,2.8064204,N,20-Sep-2024,Annual General Meeting,-4.95,SecLwr20,2026-07-20
GRADIENTE,BE,3.11,3.11,3.11,3.11,3.27,-4.89,56624,1.7610064,N,-,-,-4.89,SecLwr20,2026-07-20
EUROTEXIND,BE,13.44,13.44,12.79,12.79,13.44,-4.84,613,0.082142,N,12-Sep-2024,Annual General Meeting,-4.84,SecLwr20,2026-07-20
KSHITIJPOL,BE,2.37,2.37,2.37,2.37,2.49,-4.82,796916,18.886909199999998,N,18-Jun-2024,Rights 4:5 @ Premium Rs 4.40/-,-4.82,SecLwr20,2026-07-20
MFML,EQ,18.8,19.29,17.3,18.06,18.97,-4.8,2277,0.4139586,N,23-Sep-2024,Annual General Meeting,-4.8,SecLwr20,2026-07-20
MTEDUCARE,BE,1.98,1.98,1.8,1.8,1.89,-4.76,4145,0.07834050000000001,N,17-Sep-2024,Annual General Meeting,-4.76,SecLwr20,2026-07-20
BILVYAPAR,BE,4.2,4.38,3.99,4.0,4.2,-4.76,5352,0.2237136,N,12-Sep-2024,Annual General Meeting,-4.76,SecLwr20,2026-07-20
TECILCHEM,EQ,10.65,10.65,9.5,9.89,10.38,-4.72,21869,2.1803393,N,19-Sep-2024,Annual General Meeting,-4.72,SecLwr20,2026-07-20
NOIDATOLL,BE,4.51,4.75,4.48,4.48,4.7,-4.68,264352,11.9487104,N,10-Sep-2024,Annual General Meeting,-4.68,SecLwr20,2026-07-20
DCMFINSERV,BE,4.91,5.33,4.91,4.92,5.15,-4.47,13471,0.67355,N,20-Sep-2024,Annual General Meeting,-4.47,SecLwr20,2026-07-20
QUINTEGRA,BE,1.42,1.42,1.3,1.3,1.36,-4.41,53382,0.720657,N,07-Aug-2024,Annual General Meeting,-4.41,SecLwr20,2026-07-20
MKPL,EQ,4.56,4.56,4.2,4.31,4.48,-3.79,452746,19.5133526,N,23-Sep-2024,Annual General Meeting,-3.79,SecLwr20,2026-07-20
